smiles
[N@@]([R1])([R2])([R3])[R4]
N([R1])([R2])[R3]
O([R1])[R2]
O[R1]
C(=C(/[R3])[R4])(/[R1])[R2]
C(#C[R2])[R1]
C(=N/[R3])(/[R1])[R2]
[C-]#[N+][R1]
C(#N)[R1]
C(=N/[R2])/[R1]
C(=O)(*)[R1]
C(=O)([R1])[R2]
N(=N/[R2])/[R1]
C(=O)[R1]
N(=O)[R1]
P([R1])([R2])[R3]
S([R1])[R2]
O(O[R2])[R1]
S[R1]
OO[R1]
C(=N[R1])=O
C(#N)O[R1]
[N-]=[N+]=N[R1]
C1CC1
C1CN1
C(=O)(O[R2])[R1]
C(N)(=O)[R1]
C1CO1
C(O)(=O)[R1]
C(O)(=O)[R1]
[N+]([O-])(=O)[R1]
N(=O)O[R1]
O=S([R1])[R2]
C=C1CC1
C1CC=C1
C1C=CN1
C1CCC1
C1CNC1
C(=N[R1])=S
C(#N)S[R1]
C1COC1
C(=O)(O[R1])O[R2]
C1CS1
[N+]([O-])(=O)O[R1]
S(S[R2])[R1]
O=S(=O)([R1])[R2]
c1cc[nH]c1
c1ccoc1
c1c[nH]cn1
c1cn[nH]c1
c1c[nH]cn1
C1CC=CC1
c1cocn1
c1cnoc1
c1c[nH]nn1
c1nc[nH]n1
c1nnc[nH]1
c1cn[nH]n1
C1C=CCN1
C(N(C(=O)[R3])[R2])(=O)[R1]
c1conn1
c1nnco1
c1ncon1
c1cnon1
c1nn[nH]n1
c1nnn[nH]1
C1CC(C1)=O
C1CN=CN1
C1CCCC1
c1nnno1
C1CNC1=O
C1CON=C1
C1COC=N1
C1CCNC1
C1C=CS1
C1CCOC1
C1CNCN1
C1CNNC1
C1CNOC1
C1COCN1
C1CSC1
C1COCO1
c1cnccc1[R1]
c1ccnc(c1)[R1]
c1cc(cnc1)[R1]
c1ccccc1
C1C=C2CC2=C1
c1ccncc1
c1ccncc1
c1cnccn1
c1cncnc1
c1ccnnc1
OS(=O)(=O)[R1]
OP(O)(=O)[R1]
c1ncncn1
c1cnncn1
C1=CC=[O+]C=C1
C1C=CNC=C1
C1C=CC=CO1
C1CC2CC1C2
C1CCC=CC1
C1CC2(C1)CC2
C=C1CCCC1
C1C=CC(N1)=O
C1CNC2CC12
C1CNCC=C1
C1C2CNCC12
C=C1CCNC1
c1ccsc1
C1C=CC(=O)O1
C1=CNNC1=O
C1C=NNC1=O
C1=CNC(N1)=O
C1CC=COC1
C1CCC(C1)=O
C=C1CCCO1
C1CNC=NC1
C1CCCCC1
c1cscn1
c1cnsc1
C1NC(NN=1)=O
C1NNC(N=1)=O
C1C(NNN=1)=O
C1CC(NC1)=O
C1CNCC1=O
C1CCNCC1
c1csnn1
c1nncs1
c1ncsn1
c1cnsn1
C1=COC(=O)O1
C1NC(=O)ON=1
C1CSC=C1
C1COC=CO1
C1CNC(N1)=O
C1CCOCC1
C1CNCCN1
c1nnns1
C1CSC=N1
C1COC(N1)=O
C1COCCN1
C1CCSC1
C1COCCO1
C1COCOC1
C1CSCN1
C1CSCO1
C=C1C=CC=CN1
C1C2CC1=CNC=2
c1ccc(cc1)O
C1C=CC(C=C1)=O
C=C1C=COC=C1
C1CC2CC1C=C2
C1=CNC=CC1=O
C1C=CNC(C=1)=O
OP(=O)(O[R1])O[R2]
C1C=COC(C=1)=O
